messageid,topics
35,Управление командой|Процессы разработки|Архитектура
36,Управление командой|Архитектура
37,Управление командой|Архитектура
38,Управление командой|Процессы разработки|Архитектура
41,Управление командой|Архитектура
42,Управление командой|Архитектура
43,Управление командой|Архитектура
44,Управление командой|Архитектура
45,Управление командой|Архитектура
50,Управление командой|Архитектура|Технический рост
53,Управление командой|Процессы разработки|Архитектура|Технический рост
54,Управление командой|Процессы разработки|Технический рост
55,Управление командой|Процессы разработки|AI/ML|Технический рост
56,Управление командой|Процессы разработки|AI/ML|Конфликты и проблемы|Технический рост
57,Управление командой|Процессы разработки|Архитектура|AI/ML|Технический рост
59,Управление командой|Процессы разработки|Архитектура|AI/ML|Технический рост
60,Управление командой|Процессы разработки|AI/ML|Технический рост
61,Управление командой|Процессы разработки|AI/ML|Технический рост
70,Управление командой|Процессы разработки|AI/ML
72,Управление командой|Процессы разработки|AI/ML
78,AI/ML
86,AI/ML
87,Общие вопросы
91,Общие вопросы
95,Управление командой|Найм и HR
97,Управление командой|Найм и HR
101,Общие вопросы
103,Общие вопросы
104,Общие вопросы
105,Общие вопросы
108,Общие вопросы
109,Общие вопросы
110,Тестирование
111,Тестирование
112,Тестирование
113,Тестирование
115,Тестирование
116,Тестирование
117,Тестирование
118,Тестирование
119,Тестирование
120,Тестирование
121,Тестирование
122,Тестирование
123,Общие вопросы
124,Общие вопросы
125,Управление командой|Конфликты и проблемы
127,Управление командой|Конфликты и проблемы
129,Управление командой|Конфликты и проблемы
131,Управление командой|Конфликты и проблемы
132,Управление командой
134,Управление командой
136,Управление командой
137,Управление командой
140,Управление командой
141,Управление командой|Найм и HR
142,Управление командой
143,Управление командой
144,Управление командой
145,Управление командой
146,Общие вопросы
147,Общие вопросы
150,Управление командой
152,Общие вопросы
153,Общие вопросы
154,Общие вопросы
155,Общие вопросы
157,Управление командой|Тестирование|AI/ML|Удаленка и офис
158,Управление командой|Тестирование|AI/ML|Удаленка и офис
159,Управление командой|Процессы разработки|Тестирование|AI/ML|Удаленка и офис
160,Управление командой|Процессы разработки|Тестирование|AI/ML|Удаленка и офис
161,Управление командой|Процессы разработки|Тестирование|AI/ML|Удаленка и офис
162,Управление командой|Процессы разработки|Найм и HR|Тестирование|AI/ML|Удаленка и офис
163,Процессы разработки|Найм и HR|Тестирование|AI/ML|Удаленка и офис
164,Процессы разработки|Тестирование|Конфликты и проблемы
165,Процессы разработки|Найм и HR|Тестирование|Конфликты и проблемы
166,Процессы разработки|Найм и HR|Архитектура|Тестирование|Конфликты и проблемы
167,Процессы разработки|Найм и HR|Архитектура|Тестирование|Конфликты и проблемы
168,Процессы разработки|Тестирование|Конфликты и проблемы
169,Процессы разработки|Архитектура|Тестирование|Конфликты и проблемы
170,Найм и HR|Тестирование|Конфликты и проблемы
171,Общие вопросы
172,Общие вопросы
173,Процессы разработки
174,Процессы разработки
175,Общие вопросы
177,Конфликты и проблемы
179,Общие вопросы
180,AI/ML
181,Архитектура|AI/ML|Конфликты и проблемы
182,Тестирование|AI/ML
183,Архитектура|AI/ML
185,Тестирование|AI/ML
186,AI/ML
187,AI/ML
188,Управление командой|Найм и HR|AI/ML
189,Управление командой|Процессы разработки|AI/ML
190,Управление командой|AI/ML
191,Управление командой|Найм и HR|AI/ML
192,Управление командой
193,Управление командой|Процессы разработки
194,Управление командой
195,Общие вопросы
196,Общие вопросы
197,Общие вопросы
198,Найм и HR
199,Найм и HR
200,Найм и HR
202,Найм и HR|Тестирование
203,Управление командой|Процессы разработки|Найм и HR|Тестирование
204,Управление командой|Процессы разработки|Найм и HR|Тестирование
205,Управление командой|Процессы разработки|Найм и HR|Архитектура|Тестирование|AI/ML|Метрики и KPI
206,Управление командой|Процессы разработки|Найм и HR|Архитектура|Тестирование|AI/ML|Метрики и KPI
207,Управление командой|Процессы разработки|Найм и HR|Архитектура|Тестирование|AI/ML|Метрики и KPI
208,Управление командой|Процессы разработки|Найм и HR|Архитектура|Тестирование|AI/ML|Метрики и KPI
209,Управление командой|Процессы разработки|Найм и HR|Архитектура|Тестирование|AI/ML|Метрики и KPI
210,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML|Метрики и KPI
211,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML|Метрики и KPI
217,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML|Метрики и KPI
218,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML|Метрики и KPI
226,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML|Метрики и KPI
228,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML|Метрики и KPI
229,Управление командой|Процессы разработки|Архитектура|Тестирование|AI/ML|Метрики и KPI
233,Общие вопросы
235,Управление командой|Найм и HR|AI/ML|Конфликты и проблемы
236,Управление командой|AI/ML
237,Управление командой|AI/ML
238,Управление командой|AI/ML
239,Управление командой|Процессы разработки|AI/ML
240,Управление командой|AI/ML
241,Тестирование|AI/ML
242,Тестирование|AI/ML
243,Тестирование|AI/ML
245,Тестирование|AI/ML
246,Тестирование
248,Тестирование
249,Тестирование
250,Общие вопросы
251,Общие вопросы
252,Общие вопросы
253,Управление командой|Конфликты и проблемы|Метрики и KPI
254,Управление командой|Конфликты и проблемы|Метрики и KPI
255,Конфликты и проблемы
256,Конфликты и проблемы
257,Конфликты и проблемы
258,Конфликты и проблемы
259,Конфликты и проблемы
260,Конфликты и проблемы
261,Конфликты и проблемы
263,AI/ML
264,Общие вопросы
266,Архитектура|Метрики и KPI
267,Архитектура|Конфликты и проблемы|Метрики и KPI
268,Метрики и KPI
269,Конфликты и проблемы|Метрики и KPI
270,Конфликты и проблемы|Метрики и KPI
271,Метрики и KPI
272,Метрики и KPI
273,Метрики и KPI
274,Метрики и KPI
275,Метрики и KPI
276,Управление командой|Метрики и KPI
277,Метрики и KPI
278,Управление командой|Метрики и KPI
280,Управление командой
281,Управление командой
282,Управление командой|Конфликты и проблемы
283,Управление командой|Тестирование|Конфликты и проблемы
284,Управление командой|Тестирование
285,Управление командой|Тестирование|Конфликты и проблемы
286,Управление командой|Тестирование|Конфликты и проблемы
287,Управление командой|Тестирование|Конфликты и проблемы
288,Управление командой|Тестирование|Конфликты и проблемы|Метрики и KPI
289,Управление командой|Тестирование|Конфликты и проблемы
290,Управление командой|Тестирование|Конфликты и проблемы|Метрики и KPI
291,Управление командой|Тестирование|Конфликты и проблемы
292,Управление командой|Тестирование|Конфликты и проблемы
293,Управление командой|Тестирование|Конфликты и проблемы
294,Управление командой|Тестирование|Конфликты и проблемы
296,Управление командой|Тестирование|Конфликты и проблемы
297,Общие вопросы
298,Общие вопросы
300,Общие вопросы
301,Тестирование
303,Тестирование
304,Тестирование
305,Управление командой|Тестирование
306,Тестирование|Метрики и KPI
307,Тестирование|Конфликты и проблемы|Метрики и KPI
308,Тестирование|Конфликты и проблемы|Метрики и KPI
309,Тестирование|Метрики и KPI
310,Тестирование|Метрики и KPI
311,Тестирование|Метрики и KPI
312,Тестирование|AI/ML|Метрики и KPI
313,Тестирование|AI/ML
314,Тестирование
315,Тестирование
316,Общие вопросы
317,Общие вопросы
318,Общие вопросы
319,Общие вопросы
321,Метрики и KPI
322,Конфликты и проблемы|Метрики и KPI
323,Тестирование|Метрики и KPI
324,Тестирование|Метрики и KPI
325,Тестирование|Метрики и KPI
326,Тестирование|Метрики и KPI
327,Процессы разработки|Тестирование|Метрики и KPI
329,Процессы разработки|Тестирование|Метрики и KPI
330,Процессы разработки|Тестирование|Метрики и KPI
331,Процессы разработки|Метрики и KPI
332,Процессы разработки
333,Процессы разработки
334,Процессы разработки|Конфликты и проблемы
338,Процессы разработки
339,Общие вопросы
340,Процессы разработки
341,Общие вопросы
342,Конфликты и проблемы
343,Архитектура
344,Общие вопросы
345,Общие вопросы
346,Архитектура|Тестирование
347,Архитектура|Тестирование
348,Архитектура|Тестирование
349,Архитектура|Тестирование
350,Процессы разработки|Архитектура|Тестирование
352,Процессы разработки|Архитектура|Тестирование
353,Процессы разработки|Архитектура|Тестирование
355,Процессы разработки|Архитектура|Тестирование
356,Процессы разработки|Архитектура|Тестирование
357,Процессы разработки|Архитектура|Тестирование
358,Процессы разработки|Архитектура|Тестирование
359,Процессы разработки
361,Процессы разработки
362,Процессы разработки
363,Общие вопросы
364,Общие вопросы
365,Общие вопросы
366,Конфликты и проблемы
367,Общие вопросы
368,Конфликты и проблемы
369,Конфликты и проблемы
370,Процессы разработки|Конфликты и проблемы
371,Процессы разработки|Конфликты и проблемы
372,Процессы разработки|Конфликты и проблемы
373,Процессы разработки|Конфликты и проблемы
374,Процессы разработки|Конфликты и проблемы
376,Процессы разработки|Тестирование
377,Процессы разработки|Конфликты и проблемы
378,Процессы разработки
379,Процессы разработки
380,Процессы разработки|Тестирование
381,Процессы разработки
382,Тестирование
383,Общие вопросы
384,Общие вопросы
385,Общие вопросы
386,Общие вопросы
387,Общие вопросы
389,Общие вопросы
390,Конфликты и проблемы
391,Конфликты и проблемы
392,Конфликты и проблемы
394,Тестирование|Конфликты и проблемы
395,Архитектура|Конфликты и проблемы
396,Архитектура|Тестирование|Конфликты и проблемы|Метрики и KPI
397,Архитектура|Тестирование|Конфликты и проблемы|Метрики и KPI
398,Архитектура|Тестирование|Конфликты и проблемы|Метрики и KPI
399,Архитектура|Тестирование|AI/ML|Конфликты и проблемы|Метрики и KPI
400,Архитектура|Конфликты и проблемы|Метрики и KPI
402,Процессы разработки|Архитектура|Тестирование|Конфликты и проблемы|Технический рост|Метрики и KPI
404,Процессы разработки|Архитектура|Тестирование|Конфликты и проблемы|Метрики и KPI
405,Процессы разработки|Найм и HR|Конфликты и проблемы|Метрики и KPI
406,Процессы разработки|Архитектура|Конфликты и проблемы|Метрики и KPI
411,Процессы разработки|Архитектура|Конфликты и проблемы|Метрики и KPI
412,Процессы разработки|Конфликты и проблемы|Метрики и KPI
413,Процессы разработки|Конфликты и проблемы|Метрики и KPI
414,Процессы разработки|Конфликты и проблемы|Метрики и KPI
415,Метрики и KPI
416,Метрики и KPI
418,Общие вопросы
419,Общие вопросы
420,Общие вопросы
422,Общие вопросы
423,Общие вопросы
425,Общие вопросы
426,Архитектура
428,Управление командой|Процессы разработки|Конфликты и проблемы
429,Управление командой|Процессы разработки|AI/ML|Конфликты и проблемы|Метрики и KPI
430,Управление командой|Процессы разработки|AI/ML|Конфликты и проблемы|Метрики и KPI
431,Управление командой|Процессы разработки|AI/ML|Конфликты и проблемы|Метрики и KPI
432,Управление командой|Процессы разработки|AI/ML|Конфликты и проблемы|Метрики и KPI
440,Управление командой|Тестирование|AI/ML|Конфликты и проблемы|Метрики и KPI|Удаленка и офис
439,Тестирование|AI/ML|Метрики и KPI
442,Архитектура|AI/ML|Технический рост
443,Архитектура|AI/ML
445,Архитектура|AI/ML
446,Архитектура|AI/ML
447,Архитектура|AI/ML
448,Архитектура|AI/ML
450,Найм и HR|AI/ML
452,Найм и HR|AI/ML
455,Найм и HR|AI/ML
454,Найм и HR|AI/ML
456,Найм и HR|AI/ML
457,Найм и HR|AI/ML
459,Найм и HR|AI/ML
460,Найм и HR|AI/ML
461,Найм и HR|AI/ML
462,Найм и HR|AI/ML
463,Найм и HR
464,Найм и HR
465,Найм и HR
466,Найм и HR|AI/ML
467,Найм и HR
468,Найм и HR|AI/ML
469,Найм и HR|AI/ML
470,Найм и HR|AI/ML
471,Найм и HR|AI/ML
474,Найм и HR
475,Найм и HR|AI/ML|Удаленка и офис
477,Найм и HR|AI/ML|Удаленка и офис
478,Найм и HR|AI/ML|Удаленка и офис
479,Найм и HR|AI/ML
480,Найм и HR|AI/ML
482,Процессы разработки|Найм и HR|AI/ML
483,Найм и HR
485,Найм и HR|Архитектура|Удаленка и офис
486,Найм и HR|Архитектура|Удаленка и офис
489,AI/ML|Технический рост
491,Найм и HR
493,Найм и HR|Конфликты и проблемы
494,Найм и HR|Конфликты и проблемы
495,Найм и HR
496,Найм и HR
499,Конфликты и проблемы
500,Общие вопросы
501,Общие вопросы
502,Общие вопросы
503,Общие вопросы
505,Общие вопросы
507,Общие вопросы
509,AI/ML
519,AI/ML
520,AI/ML
521,AI/ML
522,Управление командой|AI/ML
523,AI/ML
524,Тестирование|AI/ML
525,Тестирование|AI/ML
526,AI/ML
527,AI/ML
528,AI/ML
529,AI/ML
530,AI/ML
531,AI/ML
532,AI/ML
533,AI/ML
534,AI/ML|Технический рост
535,AI/ML|Технический рост
536,AI/ML|Технический рост
537,AI/ML|Технический рост
539,AI/ML|Технический рост
540,AI/ML|Технический рост
541,AI/ML|Технический рост
542,AI/ML|Технический рост
543,AI/ML|Технический рост
544,Тестирование|AI/ML|Технический рост|Метрики и KPI
545,Тестирование|AI/ML|Технический рост|Метрики и KPI
546,Тестирование|AI/ML|Метрики и KPI
547,Тестирование|AI/ML|Метрики и KPI
548,Тестирование|AI/ML|Метрики и KPI
549,Управление командой|Тестирование|AI/ML|Конфликты и проблемы|Метрики и KPI|Удаленка и офис
551,Управление командой|Тестирование|AI/ML|Конфликты и проблемы|Метрики и KPI|Удаленка и офис
552,Тестирование|AI/ML|Метрики и KPI
553,Тестирование|AI/ML|Конфликты и проблемы|Метрики и KPI
554,Тестирование|AI/ML|Конфликты и проблемы|Метрики и KPI
555,Тестирование|AI/ML|Конфликты и проблемы|Метрики и KPI
558,Тестирование|AI/ML
559,AI/ML
560,Найм и HR|AI/ML|Конфликты и проблемы
561,Найм и HR|Тестирование|AI/ML
562,Найм и HR|AI/ML
563,Найм и HR|AI/ML|Конфликты и проблемы
565,Найм и HR
566,Найм и HR
567,Найм и HR
568,Найм и HR
569,Найм и HR
570,Найм и HR
572,Найм и HR
573,Найм и HR|Тестирование
574,Тестирование|Технический рост
575,Тестирование
576,Тестирование
577,Тестирование
578,Процессы разработки|Тестирование|Метрики и KPI
582,Управление командой|AI/ML|Технический рост
583,Управление командой|AI/ML|Технический рост
584,Управление командой
585,Управление командой
586,Управление командой
588,Управление командой
589,Общие вопросы
591,Управление командой
593,Управление командой
594,Общие вопросы
595,Общие вопросы
596,Управление командой|Процессы разработки
597,Процессы разработки
598,Управление командой|Процессы разработки
599,Процессы разработки
600,Процессы разработки
601,Процессы разработки
602,Управление командой|Процессы разработки
603,Управление командой|Процессы разработки
604,Управление командой|Процессы разработки
605,Управление командой|Процессы разработки
606,Управление командой|Процессы разработки
607,Управление командой
608,Управление командой
609,Управление командой
610,Управление командой
611,Управление командой
612,Управление командой|Архитектура
613,Общие вопросы
614,Общие вопросы
615,Управление командой|Процессы разработки
616,Управление командой|Процессы разработки
617,Управление командой|Процессы разработки|Архитектура
618,Управление командой|Процессы разработки|Архитектура|Технический рост
619,Управление командой|Процессы разработки|Конфликты и проблемы|Технический рост
620,Управление командой|Процессы разработки|Найм и HR|Конфликты и проблемы|Технический рост
621,Управление командой|Процессы разработки|Технический рост
622,Управление командой|Процессы разработки|Технический рост
623,Управление командой|Процессы разработки|Технический рост
624,Управление командой|Процессы разработки|Найм и HR|Конфликты и проблемы|Технический рост
625,Управление командой|Процессы разработки|Технический рост
626,Управление командой|Найм и HR|Технический рост
627,Управление командой|Технический рост
628,Управление командой|Конфликты и проблемы|Технический рост
629,Управление командой|Архитектура|Конфликты и проблемы|Технический рост
630,Архитектура|Конфликты и проблемы|Технический рост
631,Конфликты и проблемы
632,Конфликты и проблемы|Технический рост
633,Конфликты и проблемы
634,Конфликты и проблемы
635,Конфликты и проблемы
636,Конфликты и проблемы
637,Конфликты и проблемы
638,Конфликты и проблемы
639,Общие вопросы
640,Общие вопросы
641,Общие вопросы
648,AI/ML
651,AI/ML
653,AI/ML
654,AI/ML
655,AI/ML
657,Процессы разработки|AI/ML|Конфликты и проблемы
658,Управление командой|Процессы разработки|AI/ML|Конфликты и проблемы|Технический рост
659,Процессы разработки|AI/ML|Конфликты и проблемы
660,Процессы разработки|AI/ML|Конфликты и проблемы
661,Управление командой|Процессы разработки|AI/ML|Конфликты и проблемы|Технический рост
662,Управление командой|Процессы разработки|AI/ML|Конфликты и проблемы
663,Конфликты и проблемы
664,Конфликты и проблемы
665,Конфликты и проблемы
666,Процессы разработки|AI/ML|Конфликты и проблемы|Технический рост
667,Конфликты и проблемы
668,Конфликты и проблемы
669,Конфликты и проблемы
670,Конфликты и проблемы|Технический рост
671,Конфликты и проблемы
672,Общие вопросы
673,Конфликты и проблемы|Технический рост
674,Конфликты и проблемы
675,Конфликты и проблемы
676,Конфликты и проблемы
677,Конфликты и проблемы
678,Конфликты и проблемы
680,Конфликты и проблемы
681,Конфликты и проблемы
682,Управление командой
683,Управление командой
684,Общие вопросы
685,Общие вопросы
686,Общие вопросы
687,Общие вопросы
688,Процессы разработки
689,Общие вопросы
690,Общие вопросы
691,Конфликты и проблемы
692,Общие вопросы
693,Общие вопросы
694,Общие вопросы
696,Общие вопросы
697,Общие вопросы
698,Общие вопросы
701,Управление командой|Процессы разработки|Конфликты и проблемы|Метрики и KPI
700,Управление командой
702,Управление командой
703,Управление командой
706,AI/ML
707,AI/ML
708,AI/ML
709,AI/ML
710,AI/ML
711,AI/ML
712,AI/ML
713,Тестирование|AI/ML|Конфликты и проблемы|Технический рост
714,AI/ML|Конфликты и проблемы
715,Тестирование|AI/ML|Конфликты и проблемы|Технический рост
716,AI/ML|Конфликты и проблемы
717,AI/ML|Конфликты и проблемы
718,Процессы разработки|AI/ML|Конфликты и проблемы
719,AI/ML|Конфликты и проблемы
720,AI/ML|Конфликты и проблемы
721,AI/ML|Конфликты и проблемы
722,AI/ML|Конфликты и проблемы
723,Конфликты и проблемы
724,Общие вопросы
726,Общие вопросы
727,Общие вопросы
728,Общие вопросы
729,Общие вопросы
731,Общие вопросы
732,AI/ML
733,AI/ML
737,Общие вопросы
738,Общие вопросы
740,Общие вопросы
743,Общие вопросы
744,Общие вопросы
745,Общие вопросы
746,Общие вопросы
747,Управление командой
748,Общие вопросы
749,Управление командой
750,Общие вопросы
751,Общие вопросы
752,Общие вопросы
753,Общие вопросы
754,Общие вопросы
755,Найм и HR|Метрики и KPI
756,Метрики и KPI
758,Метрики и KPI
759,Тестирование|Метрики и KPI
760,Процессы разработки|Тестирование|Метрики и KPI
761,Управление командой|Процессы разработки|Метрики и KPI
762,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
763,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
764,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
765,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
767,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
768,Управление командой|Процессы разработки|Тестирование
769,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
770,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
771,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
772,Управление командой|Процессы разработки|Тестирование|Метрики и KPI
