combination,count,percent
"Люди и Команды + Технологии",186,0.79
"Бизнес + Люди и Команды",154,0.66
"Бизнес + Менеджмент и Процессы",103,0.44
"Люди и Команды + Менеджмент и Процессы",84,0.36
"Бизнес + Технологии",77,0.33
"Менеджмент и Процессы + Технологии",67,0.29
"Бизнес + Люди и Команды + Технологии",44,0.19
"Люди и Команды + Менеджмент и Процессы + Технологии",39,0.17
"Бизнес + Люди и Команды + Менеджмент и Процессы",28,0.12
"Бизнес + Люди и Команды + Менеджмент и Процессы + Технологии",27,0.12
"Бизнес + Менеджмент и Процессы + Технологии",21,0.09
