user,replies_sent,replies_received,unique_replied_to,unique_replied_by,connector_score
"Aidyn Mautkhan",1,3,1,3,16
"KASSCO ",11,11,8,8,352
"Aidyn Toibekov",3,3,2,2,24
"Rodion Mostovoi",70,61,13,12,3275
"Kuanysh Kabdollin",0,1,0,1,0
"Daulet Dauitbek",32,18,8,5,650
"Abdubek Zholay",7,5,3,2,60
"hayshin ",1,1,1,1,4
"IlhufhUhvwohvv<<C ",1,1,1,1,4
"Monti ",11,13,3,5,192
"Afanasii ",0,1,0,1,0
"Azamat ",0,3,0,2,0
"Vassiliy ",582,478,24,30,57240
"乙卄工厶巨尺 ",0,1,0,1,0
"Anarbek ",2,3,2,2,20
"Kana O",0,1,0,1,0
"M ",3,0,3,0,9
"Yernur ",16,11,3,3,162
"Igor Pak",7,5,5,3,96
"Vladislav ",18,11,7,8,435
"Ustem ",3,3,3,3,36
"Shamuil💻 ",45,52,12,9,2037
"Artem Galustyan",46,37,11,10,1743
"Aibek ",7,8,3,3,90
"Alibek R ",3,0,1,0,3
"Zhanas ",3,0,3,0,9
"Pavel Gasanov",42,46,13,13,2288
"Daulet ",15,16,3,5,248
"Eugene Svalukhin",1,2,1,1,6
"Борис ",12,15,7,7,378
"Д а Н Е К Е Р ",1,1,1,1,4
"Andrey Litvinov",1,0,1,0,1
". ",1,0,1,0,1
"︎ ︎ ︎︎ ︎ ︎︎︎ ︎ ︎ ︎ ︎ ︎ ︎︎ ︎ ︎ ︎ ︎︎ ︎ ︎ ︎ ︎︎ ︎ ︎︎︎ ︎ ︎ ︎ ︎ ︎ ︎︎ ",0,3,0,3,0
"Vitaliy ",6,6,4,3,84
"Damir Kyzyr",3,1,1,1,8
"Alex Dukhnovskiy ",56,42,10,10,1960
"A S",2,3,2,3,25
"Arthur pandev.io",219,281,12,17,14500
"Nadirbek Nurlybekov",2,0,2,0,4
"Alisher Mukhambetzhanov",0,1,0,1,0
"Oracle ",3,1,2,1,12
"Azat Jalilov",366,451,31,35,53922
"Azat ",1,1,1,1,4
"olzhas tatagulov",37,38,9,11,1500
"Игорь Блинк",3,3,3,2,30
"Yelzhas Sultanov",0,1,0,1,0
"qaisar ",1,0,1,0,1
"Николай ",1,0,1,0,1
"鏥 Tоλеген ",94,125,15,14,6351
"Сергей Михайлов ",33,32,8,7,975
"Iztleu Darkhan ",36,37,10,9,1387
"Svetlana Yankovs ",3,20,2,9,253
"Александр ",0,1,0,1,0
"FÉNIX🐦‍🔥 ",1,0,1,0,1
"Danabek Serikkaliyev",1,0,1,0,1
"Sergey Rudenko",1,2,1,2,9
"Rodion Mostovoi [KZ]",21,19,6,9,600
"Maksim Mukharev",22,27,6,6,588
"Ali ",18,20,8,8,608
"Sergey F.",3,3,1,2,18
"Антон ",254,273,16,16,16864
"Alibek ",1,0,1,0,1
"A O",2,4,2,2,24
"Имя Ернур ",0,1,0,1,0
"Andrii Kurdiumov",2047,1996,62,62,501332
"Olzhas ",5,10,4,5,135
"Tair Sab",275,289,33,31,36096
"Zhanar Mustafina",23,23,5,4,414
"Ilya Nikitenkov",3,3,2,2,24
"raim ",0,1,0,1,0
"azafromkaza ",3,3,2,1,18
"Акмаль ",7,3,6,2,80
"arystan ",1,1,1,1,4
"Адиль ",1,0,1,0,1
"Timur Nurmagambetov",1,2,1,2,9
"Артем Летюшев",43,41,12,10,1848
"Sergey Rubtsov",9,6,5,5,150
"Stanislav Belyaev",1626,1275,69,60,374229
"Теймур Шайкемелов",1243,1176,56,54,266090
"Sayan Jakupbekov",9,7,5,3,128
"Anton ",56,73,9,9,2322
"Dastan Smailov",1,1,1,1,4
"Arman ",3,4,2,3,35
"Zhandos ",0,1,0,1,0
"Nursultan Sarymov",1,1,1,1,4
"Sergey Kuzmin",13,13,4,6,260
"Sergey Shuvalov",1,0,1,0,1
"Дмитрий Романов",9,8,4,6,170
"Nurlan N",300,220,34,32,34320
"Магжан Каратаєв <🦩/>",14,37,8,8,816
"АДИЛЬБЕК ",95,130,21,18,8775
"Iskander Raimbayev",1,0,1,0,1
"Ilyas ",0,2,0,2,0
"Andrey Pfremmy",58,50,10,9,2052
"Maxim Gorbatyuk",218,175,28,27,21615
"check ",1,1,1,1,4
"Dmitriy Melnik",354,493,34,42,64372
"Артур Пан",1073,1428,49,54,257603
"Daniyar S",20,19,7,6,507
"Rodion M [KZ]",65,56,11,13,2904
"Андрей Звёздочка",202,151,18,17,12355
"alexandr ",1,1,1,1,4
"Denis Migulin",42,36,15,9,1872
"Aleksandr Berestovoy",8,6,6,6,168
"mrdw ",2,0,2,0,4
"Viktor ",10,9,5,4,171
"але на ",0,1,0,1,0
"LORDE kz",27,20,11,10,987
"Tatyana ",1,0,1,0,1
"⌘ Einsamcretums ",1,0,1,0,1
"Adil ",14,27,7,8,615
"Ilyas Adov",2,4,2,2,24
"Жасулан ",3,3,2,2,24
"Rodion M [UTC+5]",14,10,4,4,192
"Baur ",15,15,6,7,390
"Сергей Михайлов",6,7,4,3,91
"Степан ",1,5,1,3,24
"Kazybek Yedenbayev",1,0,1,0,1
"Quynh Tyler",0,1,0,1,0
"Egor ",154,131,22,19,11685
"playerunknown ",4,4,1,2,24
"Denis ",177,210,20,21,15867
"Vladimir Monomakh",16,19,6,7,455
